first_date,last_date,person,name,allegation,text,corruption,crime,elections,ethics,resolved,sexual-harassment-abuse,unresolved,censure,conviction,exclusion,expulsion,plea,reprimand,resignation,settlement
2020-09-25,2020-09-25,400344,Ileana Ros-Lehtinen,using campaign funds for personal expenses,Former Rep. Ileana Ros-Lehtinen is under federal investigation by the Justice Department for allegedly spending campaign money on [personal trips](https://miami.cbslocal.com/2020/09/25/former-florida-representative-ileana-ros-lehtinen-federal-investigation/) while in her final Congressional term.,,,X,,,,X,,,,,,,,
2020-07-14,2020-08-14,412779,Steve Watkins,"interfering with law enforcement by providing false information, voting without being qualified and unlawful advance voting","In 2020, the district attorney of Shawnee County, KS, charged Rep. Watkins [with three felonies](https://www.nytimes.com/2020/07/14/us/steve-watkins-voter-fraud-kansas.html) after he voted in the wrong city council district in a 2019 municipal election and subsequently lied to law enforcement. On July 17, 2020, in accordance with House GOP conference rules, [Rep. Watkins stepped down from his committee positions](https://www.kansascity.com/news/politics-government/article244299452.html). In August 2020, Rep. Watkins [lost in the Kansas primary](https://www.politico.com/news/2020/07/14/kansas-gop-rep-watkins-indicted-for-voter-fraud-362072) and will leave Congress in January 2021. On August 14, the House Ethics Committee [established an Investigative Subcommittee](https://ethics.house.gov/press-releases/statement-chairman-and-ranking-member-committee-ethics-regarding-representative-steve).",,,X,,,,X,,,,,,,,
2020-06-17,2020-06-17,456790,Kelly Loeffler,trading stock based on learning non-public information in committee meetings,"At some point between March 2020 when news broke that stocks owned by Sen. Loeffler were sold right after a committee briefing on the possible trajectory of covid19 and June 17, 2020, the Senate Ethics Committee opened an investigation into the trades. On June 17, they [sent a letter](https://www.washingtonpost.com/politics/senate-ethics-panel-dismisses-probe-into-sen-loeffler-for-insider-trading/2020/06/16/f8ca3196-b01e-11ea-8f56-63f38c990077_story.html) to Sen. Loeffler informing her than since the Department of Justice had ended its investigation, they would too. No record of the investigation or the letter are available publicly.",X,,,,X,,,,,,,,,,
2020-06-16,2020-07-31,400030,Sanford Bishop,spending Members’ Representational Allowance (MRA) funds on holiday events in his district and converting campaign funds to personal use,"In June 2020, the House Committee on Ethics announced it would [continue an investigation](https://ethics.house.gov/press-releases/statement-chairman-and-ranking-member-committee-ethics-regarding-representative-11) into Rep. Bishop for unstated reasons based on an unpublished February 2020 referral from the Office of Congressional Ethics. On July 31, the House Committee on Ethics [published the Office of Congressional Ethics (OCE) Report and Findings](https://ethics.house.gov/press-releases/statement-chairman-and-ranking-member-committee-ethics-regarding-representative-14) and the member's response. The OCE reported that the allegations were of spending Members’ Representational Allowance (MRA) funds on holiday events in his district and converting campaign funds to personal use",X,,X,,,,X,,,,,,,,
2020-03-17,2020-05-14,400054,Richard Burr,covid19 stock profiteering,"In March 2020, Sen. Burr was accused of covid19 stock profiteering by selling stocks based on information learned in non-public briefings. On March 20, Sen. Burr asked the Senate Select Committee on Ethics to [open an investigation](https://www.cnn.com/2020/03/19/politics/richard-burr-coronavirus-comments/index.html) into his actions. There is no indication that the Committee has acted on his request. On March 30, news reports indicated that the Federal Bureau of Investigations (FBI) and the Securities & Exchange Commission (SEC) [were investigating](https://www.charlotteobserver.com/news/politics-government/article241646666.html) Sen. Burr. On May 14, Sen. Burr stepped down as chair of the Senate Intelligence Committee after it was reported that [the FBI had seized his mobile phone](https://www.usatoday.com/story/news/politics/2020/05/14/sen-richard-burrs-phone-seized-fbi-serves-warrant-stock-probe/5188726002/).",X,,,,,,X,,,,,,,,
2019-08-18,2020-07-16,412781,Lori Trahan,accepting excessive campaign contributions and failing to file required disclosure documents,"In September 2019, Trahan was accused of accepting excessive campaign contributions and failing to file required disclosure documents. In December 2019, the House Committee on Ethics [published the Office of Congressional Ethics Report and Findings and the member's response](https://ethics.house.gov/press-release/statement-chairman-and-ranking-member-committee-ethics-regarding-representative-lori-0). In July 2020, the House Committee on Ethics [published its report dismissing the charges](https://ethics.house.gov/sites/ethics.house.gov/files/documents/Committee%20Report_17.pdf) since the alleged excessive contributions were part of joint holdings with her spouse and any reporting errors were unintentional.",,,X,,X,,,,,,,,,,
2019-08-16,2020-08-07,412787,Rashida Tlaib,reporting improper campaign expenditures,"In 2019, Tlaib was accused of reporting improper campaign expenditures. In August, the Office of Congressional Ethics [recommended further review](https://oce.house.gov/reports/investigations/oce-referral-regarding-rep-rashida-tlaib) by the House Committee on Ethics. In November, the House Committee on Ethics [published the Office of Congressional Ethics Report and Findings and the member's response](https://ethics.house.gov/press-release/statement-chairman-and-ranking-member-committee-ethics-regarding-representative-17). In August 2020, the House Committee on Ethics found that while Rep. Tlaib did receive campaign funds for personal use after the 2018 general election, it was an error and not malfeasance. She is fined $10,800, the amount she received after the election.",,,X,,X,,,,,,,,,,
2019-08-16,2019-11-14,412765,Ross Spano,receiving improper and excessive loans for his election campaign,"In 2019, Spano was accused of receiving improper and excessive loans for his election campaign. In August, the Office of Congressional Ethics [recommended further review](https://oce.house.gov/reports/investigations/oce-report-regarding-rep-ross-spano) by the House Committee on Ethics. In November, the House Committee on Ethics [deferred its investigation to the Department of Justice](https://ethics.house.gov/press-release/statement-chairman-and-ranking-member-committee-ethics-regarding-representative-ross-0).",,X,X,,,,X,,,,,,,,
2019-08-16,2019-11-14,412437,Bill Huizenga,accepting campaign contributions from staff and making improper campaign expenditures,"In 2019, Huizenga was accused of accepting campaign contributions from staff and making improper campaign expenditures. In August, the Office of Congressional Ethics [recommended further review](https://oce.house.gov/reports/investigations/oce-referral-regarding-rep-bill-huizenga) by the House Committee on Ethics. In November, the House Committee on Ethics [published the Office of Congressional Ethics Report](https://ethics.house.gov/press-release/statement-chairman-and-ranking-member-committee-ethics-regarding-representative-bill-2).",,,X,,,,X,,,,,,,,
2019-11-04,2020-06-12,400170,Alcee Hastings,engaging in improper relationship with a staff member and receiving improper gifts and/or forebearance from the staff member,"In 2019, Hastings was alleged to have engaged in improper relationship with a staff member and received improper gifts and/or forebearance from the staff member. The House Committee on Ethics began an investigation. In 2020, the House Committee on Ethics [closed the investigation](https://ethics.house.gov/press-releases/statement-chairman-and-ranking-member-committee-ethics-regarding-representative-10) since the employee was his spouse, gifts from family are acceptable and their employment did not violate any House rules when they were hired.",X,,,,X,X,,,,,,,,,
